% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
533	1	1	1	0	0	0	349	0	1	0
540	1	1	1	0	0	0	349	1	0	1
615	1	1	1	0	0	0	349	0	1	0
616	1	1	1	0	0	0	349	0	1	0
622	1	1	1	0	0	0	349	1	0	1
623	1	1	1	0	0	0	349	1	0	1
698	1	1	1	0	0	0	349	0	1	0
699	1	1	1	0	0	0	349	0	1	0
700	1	1	1	0	0	0	349	0	1	0
701	1	1	1	0	0	0	349	0	1	0
705	1	1	1	0	0	0	349	1	0	1
706	1	1	1	0	0	0	349	1	0	1
707	1	1	1	0	0	0	349	1	0	1
708	1	1	1	0	0	0	349	1	0	1
783	1	1	1	0	0	0	349	0	1	0
784	1	1	1	0	0	0	349	0	1	0
785	1	1	1	0	0	0	349	0	1	0
786	1	1	1	0	0	0	349	0	1	0
787	1	1	1	0	0	0	349	0	1	0
788	1	1	1	0	0	0	349	0	1	0
790	1	1	1	0	0	0	349	1	0	1
791	1	1	1	0	0	0	349	1	0	1
792	1	1	1	0	0	0	349	1	0	1
793	1	1	1	0	0	0	349	1	0	1
794	1	1	1	0	0	0	349	1	0	1
795	1	1	1	0	0	0	349	1	0	1
868	1	1	1	0	0	0	349	0	1	0
869	1	1	1	0	0	0	349	0	1	0
870	1	1	1	0	0	0	349	0	1	0
871	1	1	1	0	0	0	349	0	1	0
872	1	1	1	0	0	0	349	0	1	0
873	1	1	1	0	0	0	349	0	1	0
875	1	1	1	0	0	0	349	1	0	1
876	1	1	1	0	0	0	349	1	0	1
877	1	1	1	0	0	0	349	1	0	1
878	1	1	1	0	0	0	349	1	0	1
879	1	1	1	0	0	0	349	1	0	1
880	1	1	1	0	0	0	349	1	0	1
951	1	1	1	0	0	0	349	0	1	0
952	1	1	1	0	0	0	349	0	1	0
953	1	1	1	0	0	0	349	0	1	0
954	1	1	1	0	0	0	349	0	1	0
955	1	1	1	0	0	0	349	0	1	0
956	1	1	1	0	0	0	349	0	1	0
957	1	1	1	0	0	0	349	0	1	0
958	1	1	1	0	0	0	349	1	0	1
959	1	1	1	0	0	0	349	1	0	1
960	1	1	1	0	0	0	349	1	0	1
961	1	1	1	0	0	0	349	1	0	1
962	1	1	1	0	0	0	349	1	0	1
963	1	1	1	0	0	0	349	1	0	1
964	1	1	1	0	0	0	349	1	0	1
965	1	1	1	0	0	0	349	0	1	0
966	1	1	1	0	0	0	349	0	1	0
967	1	1	1	0	0	0	349	0	1	0
968	1	1	1	0	0	0	349	0	1	0
972	1	1	1	0	0	0	349	1	0	1
973	1	1	1	0	0	0	349	1	0	1
974	1	1	1	0	0	0	349	1	0	1
975	1	1	1	0	0	0	349	1	0	1
1036	1	1	1	0	0	0	349	0	1	0
1037	1	1	1	0	0	0	349	0	1	0
1038	1	1	1	0	0	0	349	0	1	0
1039	1	1	1	0	0	0	349	0	1	0
1040	1	1	1	0	0	0	349	0	1	0
1041	1	1	1	0	0	0	349	0	1	0
1042	1	1	1	0	0	0	349	0	1	0
1043	1	1	1	0	0	0	349	1	0	1
1044	1	1	1	0	0	0	349	1	0	1
1045	1	1	1	0	0	0	349	1	0	1
1046	1	1	1	0	0	0	349	1	0	1
1047	1	1	1	0	0	0	349	1	0	1
1048	1	1	1	0	0	0	349	1	0	1
1049	1	1	1	0	0	0	349	1	0	1
1050	1	1	1	0	0	0	349	0	1	0
1051	1	1	1	0	0	0	349	0	1	0
1052	1	1	1	0	0	0	349	0	1	0
