% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
533	1	1	1	0	0	349	0	1
540	1	1	1	0	0	349	1	0
615	1	1	1	0	0	349	0	1
616	1	1	1	0	0	349	0	1
622	1	1	1	0	0	349	1	0
623	1	1	1	0	0	349	1	0
698	1	1	1	0	0	349	0	1
699	1	1	1	0	0	349	0	1
700	1	1	1	0	0	349	0	1
701	1	1	1	0	0	349	0	1
705	1	1	1	0	0	349	1	0
706	1	1	1	0	0	349	1	0
707	1	1	1	0	0	349	1	0
708	1	1	1	0	0	349	1	0
783	1	1	1	0	0	349	0	1
784	1	1	1	0	0	349	0	1
785	1	1	1	0	0	349	0	1
786	1	1	1	0	0	349	0	1
787	1	1	1	0	0	349	0	1
788	1	1	1	0	0	349	0	1
790	1	1	1	0	0	349	1	0
791	1	1	1	0	0	349	1	0
792	1	1	1	0	0	349	1	0
793	1	1	1	0	0	349	1	0
794	1	1	1	0	0	349	1	0
795	1	1	1	0	0	349	1	0
868	1	1	1	0	0	349	0	1
869	1	1	1	0	0	349	0	1
870	1	1	1	0	0	349	0	1
871	1	1	1	0	0	349	0	1
872	1	1	1	0	0	349	0	1
873	1	1	1	0	0	349	0	1
875	1	1	1	0	0	349	1	0
876	1	1	1	0	0	349	1	0
877	1	1	1	0	0	349	1	0
878	1	1	1	0	0	349	1	0
879	1	1	1	0	0	349	1	0
880	1	1	1	0	0	349	1	0
951	1	1	1	0	0	349	0	1
952	1	1	1	0	0	349	0	1
953	1	1	1	0	0	349	0	1
954	1	1	1	0	0	349	0	1
955	1	1	1	0	0	349	0	1
956	1	1	1	0	0	349	0	1
957	1	1	1	0	0	349	0	1
958	1	1	1	0	0	349	1	0
959	1	1	1	0	0	349	1	0
960	1	1	1	0	0	349	1	0
961	1	1	1	0	0	349	1	0
962	1	1	1	0	0	349	1	0
963	1	1	1	0	0	349	1	0
964	1	1	1	0	0	349	1	0
965	1	1	1	0	0	349	0	1
966	1	1	1	0	0	349	0	1
967	1	1	1	0	0	349	0	1
968	1	1	1	0	0	349	0	1
972	1	1	1	0	0	349	1	0
973	1	1	1	0	0	349	1	0
974	1	1	1	0	0	349	1	0
975	1	1	1	0	0	349	1	0
1036	1	1	1	0	0	349	0	1
1037	1	1	1	0	0	349	0	1
1038	1	1	1	0	0	349	0	1
1039	1	1	1	0	0	349	0	1
1040	1	1	1	0	0	349	0	1
1041	1	1	1	0	0	349	0	1
1042	1	1	1	0	0	349	0	1
1043	1	1	1	0	0	349	1	0
1044	1	1	1	0	0	349	1	0
1045	1	1	1	0	0	349	1	0
1046	1	1	1	0	0	349	1	0
1047	1	1	1	0	0	349	1	0
1048	1	1	1	0	0	349	1	0
1049	1	1	1	0	0	349	1	0
1050	1	1	1	0	0	349	0	1
1051	1	1	1	0	0	349	0	1
1052	1	1	1	0	0	349	0	1
1053	1	1	1	0	0	349	0	1
1054	1	1	1	0	0	349	0	1
1055	1	1	1	0	0	349	0	1
1056	1	1	1	0	0	349	0	1
1057	1	1	1	0	0	349	1	0
1058	1	1	1	0	0	349	1	0
1059	1	1	1	0	0	349	1	0
1060	1	1	1	0	0	349	1	0
1061	1	1	1	0	0	349	1	0
1062	1	1	1	0	0	349	1	0
1063	1	1	1	0	0	349	1	0
1064	1	1	1	0	0	349	0	1
1065	1	1	1	0	0	349	0	1
1071	1	1	1	0	0	349	1	0
1072	1	1	1	0	0	349	1	0
1121	1	1	1	0	0	349	0	1
1122	1	1	1	0	0	349	0	1
1123	1	1	1	0	0	349	0	1
1124	1	1	1	0	0	349	0	1
1125	1	1	1	0	0	349	0	1
1126	1	1	1	0	0	349	0	1
1127	1	1	1	0	0	349	0	1
1128	1	1	1	0	0	349	1	0
1129	1	1	1	0	0	349	1	0
1130	1	1	1	0	0	349	1	0
1131	1	1	1	0	0	349	1	0
1132	1	1	1	0	0	349	1	0
1133	1	1	1	0	0	349	1	0
1134	1	1	1	0	0	349	1	0
1135	1	1	1	0	0	349	0	1
1136	1	1	1	0	0	349	0	1
1137	1	1	1	0	0	349	0	1
1138	1	1	1	0	0	349	0	1
1139	1	1	1	0	0	349	0	1
1140	1	1	1	0	0	349	0	1
1141	1	1	1	0	0	349	0	1
1142	1	1	1	0	0	349	1	0
1143	1	1	1	0	0	349	1	0
1144	1	1	1	0	0	349	1	0
1145	1	1	1	0	0	349	1	0
1146	1	1	1	0	0	349	1	0
1147	1	1	1	0	0	349	1	0
1148	1	1	1	0	0	349	1	0
1149	1	1	1	0	0	349	0	1
1150	1	1	1	0	0	349	0	1
1151	1	1	1	0	0	349	0	1
1152	1	1	1	0	0	349	0	1
1153	1	1	1	0	0	349	0	1
1154	1	1	1	0	0	349	0	1
1155	1	1	1	0	0	349	0	1
1156	1	1	1	0	0	349	1	0
1157	1	1	1	0	0	349	1	0
1158	1	1	1	0	0	349	1	0
