% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.539	1	1	54	10	1	28	2292
0.615	1	1	62	6	1	28	2292
0.691	1	1	70	2	1	28	2292
0.767	1	1	77	8	1	28	2292
0.842	1	1	85	3	1	28	2292
0.844	1	1	85	5	1	28	2292
0.918	1	1	92	9	1	28	2292
0.92	1	1	93	1	1	28	2292
0.922	1	1	93	3	1	28	2292
0.994	1	1	100	5	1	28	2292
0.996	1	1	100	7	1	28	2292
0.998	1	1	100	9	1	28	2292
1	1	1	101	1	1	28	2292
1.069	1	1	107	10	1	28	2292
1.071	1	1	108	2	1	28	2292
1.073	1	1	108	4	1	28	2292
1.075	1	1	108	6	1	28	2292
1.077	1	1	108	8	1	28	2292
1.079	1	1	108	10	1	28	2292
1.144	1	1	115	5	1	28	2292
1.146	1	1	115	7	1	28	2292
1.148	1	1	115	9	1	28	2292
1.15	1	1	116	1	1	28	2292
1.152	1	1	116	3	1	28	2292
1.154	1	1	116	5	1	28	2292
1.156	1	1	116	7	1	28	2292
1.158	1	1	116	9	1	28	2292
1.16	1	1	117	1	1	28	2292
1.219	1	1	122	10	1	28	2292
1.221	1	1	123	2	1	28	2292
1.223	1	1	123	4	1	28	2292
1.225	1	1	123	6	1	28	2292
1.227	1	1	123	8	1	28	2292
1.229	1	1	123	10	1	28	2292
1.231	1	1	124	2	1	28	2292
1.233	1	1	124	4	1	28	2292
1.235	1	1	124	6	1	28	2292
1.237	1	1	124	8	1	28	2292
1.239	1	1	124	10	1	28	2292
1.241	1	1	125	2	1	28	2292
1.243	1	1	125	4	1	28	2292
1.245	1	1	125	6	1	28	2292
1.295	1	1	130	6	1	28	2292
1.297	1	1	130	8	1	28	2292
1.299	1	1	130	10	1	28	2292
1.301	1	1	131	2	1	28	2292
1.303	1	1	131	4	1	28	2292
1.305	1	1	131	6	1	28	2292
1.307	1	1	131	8	1	28	2292
1.309	1	1	131	10	1	28	2292
1.311	1	1	132	2	1	28	2292
1.313	1	1	132	4	1	28	2292
1.315	1	1	132	6	1	28	2292
1.317	1	1	132	8	1	28	2292
1.319	1	1	132	10	1	28	2292
1.321	1	1	133	2	1	28	2292
1.323	1	1	133	4	1	28	2292
1.325	1	1	133	6	1	28	2292
1.327	1	1	133	8	1	28	2292
1.329	1	1	133	10	1	28	2292
1.331	1	1	134	2	1	28	2292
