% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
552	1	1	1	0	28	9422	0	1	1
635	1	1	1	0	28	9422	0	1	1
720	1	1	1	0	28	9422	0	1	1
805	1	1	1	0	28	9422	0	1	1
888	1	1	1	0	28	9422	0	1	1
973	1	1	1	0	28	9422	0	1	1
987	1	1	1	0	28	9422	0	1	1
1058	1	1	1	0	28	9422	0	1	1
1072	1	1	1	0	28	9422	0	1	1
1141	1	1	1	0	28	9422	0	1	1
1155	1	1	1	0	28	9422	0	1	1
1169	1	1	1	0	28	9422	0	1	1
1224	1	1	1	0	28	9422	0	1	1
1238	1	1	1	0	28	9422	0	1	1
1252	1	1	1	0	28	9422	0	1	1
1265	1	1	1	0	28	9422	0	1	1
1279	1	1	1	0	28	9422	0	1	1
1307	1	1	1	0	28	9422	0	1	1
1321	1	1	1	0	28	9422	0	1	1
1335	1	1	1	0	28	9422	0	1	1
1348	1	1	1	0	28	9422	0	1	1
1362	1	1	1	0	28	9422	0	1	1
1376	1	1	1	0	28	9422	0	1	1
1393	1	1	1	0	28	9422	0	1	1
1406	1	1	1	0	28	9422	0	1	1
1420	1	1	1	0	28	9422	0	1	1
1434	1	1	1	0	28	9422	0	1	1
1447	1	1	1	0	28	9422	0	1	1
1461	1	1	1	0	28	9422	0	1	1
1475	1	1	1	0	28	9422	0	1	1
1488	1	1	1	0	28	9422	0	1	1
1502	1	1	1	0	28	9422	0	1	1
1516	1	1	1	0	28	9422	0	1	1
1533	1	1	1	0	28	9422	0	1	1
1547	1	1	1	0	28	9422	0	1	1
1560	1	1	1	0	28	9422	0	1	1
1574	1	1	1	0	28	9422	0	1	1
1588	1	1	1	0	28	9422	0	1	1
1601	1	1	1	0	28	9422	0	1	1
1615	1	1	1	0	28	9422	0	1	1
1629	1	1	1	0	28	9422	0	1	1
1642	1	1	1	0	28	9422	0	1	1
1656	1	1	1	0	28	9422	0	1	1
1670	1	1	1	0	28	9422	0	1	1
1687	1	1	1	0	28	9422	0	1	1
1700	1	1	1	0	28	9422	0	1	1
1714	1	1	1	0	28	9422	0	1	1
1728	1	1	1	0	28	9422	0	1	1
1741	1	1	1	0	28	9422	0	1	1
1755	1	1	1	0	28	9422	0	1	1
1769	1	1	1	0	28	9422	0	1	1
1783	1	1	1	0	28	9422	0	1	1
1796	1	1	1	0	28	9422	0	1	1
1810	1	1	1	0	28	9422	0	1	1
1824	1	1	1	0	28	9422	0	1	1
1839	1	1	1	0	28	9422	0	1	1
1853	1	1	1	0	28	9422	0	1	1
1866	1	1	1	0	28	9422	0	1	1
1880	1	1	1	0	28	9422	0	1	1
1894	1	1	1	0	28	9422	0	1	1
1909	1	1	1	0	28	9422	0	1	1
1923	1	1	1	0	28	9422	0	1	1
1936	1	1	1	0	28	9422	0	1	1
1950	1	1	1	0	28	9422	0	1	1
1964	1	1	1	0	28	9422	0	1	1
1979	1	1	1	0	28	9422	0	1	1
1993	1	1	1	0	28	9422	0	1	1
2006	1	1	1	0	28	9422	0	1	1
2020	1	1	1	0	28	9422	0	1	1
2034	1	1	1	0	28	9422	0	1	1
2048	1	1	1	0	28	9422	0	1	1
2063	1	1	1	0	28	9422	0	1	1
2077	1	1	1	0	28	9422	0	1	1
2103	1	1	1	0	28	9422	0	1	1
2117	1	1	1	0	28	9422	0	1	1
2131	1	1	1	0	28	9422	0	1	1
2145	1	1	1	0	28	9422	0	1	1
2160	1	1	1	0	28	9422	0	1	1
2174	1	1	1	0	28	9422	0	1	1
2186	1	1	1	0	28	9422	0	1	1
2257	1	1	1	0	28	9422	0	1	1
2271	1	1	1	0	28	9422	0	1	1
2354	1	1	1	0	28	9422	0	1	1
2437	1	1	1	0	28	9422	0	1	1
2451	1	1	1	0	28	9422	0	1	1
2534	1	1	1	0	28	9422	0	1	1
2617	1	1	1	0	28	9422	0	1	1
2631	1	1	1	0	28	9422	0	1	1
2714	1	1	1	0	28	9422	0	1	1
2797	1	1	1	0	28	9422	0	1	1
2811	1	1	1	0	28	9422	0	1	1
2894	1	1	1	0	28	9422	0	1	1
2977	1	1	1	0	28	9422	0	1	1
2991	1	1	1	0	28	9422	0	1	1
