% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	1.69369e+09
0.081	1	1	1	1.69369e+09
0.121	1	1	1	1.69369e+09
0.161	1	1	1	1.69369e+09
0.201	1	1	1	1.69369e+09
0.241	1	1	1	1.69369e+09
0.281	1	1	1	1.69369e+09
0.321	1	1	1	1.69369e+09
0.361	1	1	1	1.69369e+09
0.401	1	1	1	1.69369e+09
0.441	1	1	1	1.69369e+09
0.481	1	1	1	1.69369e+09
0.521	1	1	1	1.69369e+09
0.561	1	1	1	1.69369e+09
0.601	1	1	1	1.69369e+09
0.641	1	1	1	1.69369e+09
0.681	1	1	1	1.69369e+09
0.721	1	1	1	1.69369e+09
0.761	1	1	1	1.69369e+09
0.801	1	1	1	1.69369e+09
0.841	1	1	1	1.69369e+09
0.881	1	1	1	1.69369e+09
0.921	1	1	1	1.69369e+09
0.961	1	1	1	1.69369e+09
1.001	1	1	1	1.69369e+09
1.041	1	1	1	1.69369e+09
1.081	1	1	1	1.69369e+09
1.121	1	1	1	1.69369e+09
1.161	1	1	1	1.69369e+09
1.201	1	1	1	1.69369e+09
1.241	1	1	1	1.69369e+09
1.281	1	1	1	1.69369e+09
1.321	1	1	1	1.69369e+09
1.361	1	1	1	1.69369e+09
1.401	1	1	1	1.69369e+09
1.441	1	1	1	1.69369e+09
1.481	1	1	1	1.69369e+09
1.521	1	1	1	1.69369e+09
1.561	1	1	1	1.69369e+09
1.601	1	1	1	1.69369e+09
1.641	1	1	1	1.69369e+09
1.681	1	1	1	1.69369e+09
1.721	1	1	1	1.69369e+09
1.761	1	1	1	1.69369e+09
1.801	1	1	1	1.69369e+09
1.841	1	1	1	1.69369e+09
1.881	1	1	1	1.69369e+09
1.921	1	1	1	1.69369e+09
1.961	1	1	1	1.69369e+09
2.001	1	1	1	1.69369e+09
2.041	1	1	1	1.69369e+09
2.081	1	1	1	1.69369e+09
2.121	1	1	1	1.69369e+09
2.161	1	1	1	1.69369e+09
2.201	1	1	1	1.69369e+09
2.241	1	1	1	1.69369e+09
2.281	1	1	1	1.69369e+09
2.321	1	1	1	1.69369e+09
2.361	1	1	1	1.69369e+09
2.401	1	1	1	1.69369e+09
2.441	1	1	1	1.69369e+09
2.481	1	1	1	1.69369e+09
2.521	1	1	1	1.69369e+09
2.561	1	1	1	1.69369e+09
2.601	1	1	1	1.69369e+09
2.641	1	1	1	1.69369e+09
2.681	1	1	1	1.69369e+09
2.721	1	1	1	1.69369e+09
2.761	1	1	1	1.69369e+09
2.801	1	1	1	1.69369e+09
2.841	1	1	1	1.69369e+09
2.881	1	1	1	1.69369e+09
2.921	1	1	1	1.69369e+09
2.961	1	1	1	1.69369e+09
