% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
552	1	1	1	0	28	9422	0	1
635	1	1	1	0	28	9422	0	1
720	1	1	1	0	28	9422	0	1
805	1	1	1	0	28	9422	0	1
888	1	1	1	0	28	9422	0	1
892	1	1	1	0	28	9422	0	1
973	1	1	1	0	28	9422	0	1
976	1	1	1	0	28	9422	0	1
987	1	1	1	0	28	9422	0	1
1058	1	1	1	0	28	9422	0	1
1061	1	1	1	0	28	9422	0	1
1072	1	1	1	0	28	9422	0	1
1075	1	1	1	0	28	9422	0	1
1141	1	1	1	0	28	9422	0	1
1145	1	1	1	0	28	9422	0	1
1155	1	1	1	0	28	9422	0	1
1158	1	1	1	0	28	9422	0	1
1169	1	1	1	0	28	9422	0	1
1172	1	1	1	0	28	9422	0	1
1224	1	1	1	0	28	9422	0	1
1228	1	1	1	0	28	9422	0	1
1238	1	1	1	0	28	9422	0	1
1241	1	1	1	0	28	9422	0	1
1252	1	1	1	0	28	9422	0	1
1255	1	1	1	0	28	9422	0	1
1265	1	1	1	0	28	9422	0	1
1269	1	1	1	0	28	9422	0	1
1279	1	1	1	0	28	9422	0	1
1307	1	1	1	0	28	9422	0	1
1311	1	1	1	0	28	9422	0	1
1321	1	1	1	0	28	9422	0	1
1324	1	1	1	0	28	9422	0	1
1335	1	1	1	0	28	9422	0	1
1338	1	1	1	0	28	9422	0	1
1348	1	1	1	0	28	9422	0	1
1352	1	1	1	0	28	9422	0	1
1362	1	1	1	0	28	9422	0	1
1365	1	1	1	0	28	9422	0	1
1376	1	1	1	0	28	9422	0	1
1379	1	1	1	0	28	9422	0	1
1382	1	1	1	0	28	9422	0	1
1393	1	1	1	0	28	9422	0	1
1396	1	1	1	0	28	9422	0	1
1406	1	1	1	0	28	9422	0	1
1410	1	1	1	0	28	9422	0	1
1420	1	1	1	0	28	9422	0	1
1423	1	1	1	0	28	9422	0	1
1434	1	1	1	0	28	9422	0	1
1437	1	1	1	0	28	9422	0	1
1447	1	1	1	0	28	9422	0	1
1451	1	1	1	0	28	9422	0	1
1461	1	1	1	0	28	9422	0	1
1464	1	1	1	0	28	9422	0	1
1475	1	1	1	0	28	9422	0	1
1478	1	1	1	0	28	9422	0	1
1488	1	1	1	0	28	9422	0	1
1492	1	1	1	0	28	9422	0	1
1502	1	1	1	0	28	9422	0	1
1505	1	1	1	0	28	9422	0	1
1516	1	1	1	0	28	9422	0	1
1519	1	1	1	0	28	9422	0	1
1522	1	1	1	0	28	9422	0	1
1533	1	1	1	0	28	9422	0	1
1536	1	1	1	0	28	9422	0	1
1547	1	1	1	0	28	9422	0	1
1550	1	1	1	0	28	9422	0	1
1560	1	1	1	0	28	9422	0	1
1564	1	1	1	0	28	9422	0	1
1574	1	1	1	0	28	9422	0	1
1577	1	1	1	0	28	9422	0	1
1588	1	1	1	0	28	9422	0	1
1591	1	1	1	0	28	9422	0	1
1601	1	1	1	0	28	9422	0	1
1605	1	1	1	0	28	9422	0	1
1615	1	1	1	0	28	9422	0	1
1618	1	1	1	0	28	9422	0	1
1629	1	1	1	0	28	9422	0	1
1632	1	1	1	0	28	9422	0	1
1642	1	1	1	0	28	9422	0	1
1646	1	1	1	0	28	9422	0	1
1656	1	1	1	0	28	9422	0	1
1659	1	1	1	0	28	9422	0	1
1670	1	1	1	0	28	9422	0	1
1673	1	1	1	0	28	9422	0	1
1676	1	1	1	0	28	9422	0	1
1687	1	1	1	0	28	9422	0	1
1690	1	1	1	0	28	9422	0	1
1700	1	1	1	0	28	9422	0	1
1704	1	1	1	0	28	9422	0	1
1714	1	1	1	0	28	9422	0	1
1717	1	1	1	0	28	9422	0	1
1728	1	1	1	0	28	9422	0	1
1731	1	1	1	0	28	9422	0	1
1741	1	1	1	0	28	9422	0	1
1745	1	1	1	0	28	9422	0	1
1755	1	1	1	0	28	9422	0	1
1758	1	1	1	0	28	9422	0	1
1769	1	1	1	0	28	9422	0	1
1772	1	1	1	0	28	9422	0	1
1783	1	1	1	0	28	9422	0	1
1786	1	1	1	0	28	9422	0	1
1796	1	1	1	0	28	9422	0	1
1800	1	1	1	0	28	9422	0	1
1810	1	1	1	0	28	9422	0	1
